pk_kpi;codigo;hospital;estado;total_int;tmi;int_cli;tmi_cli;cpi_cli;cpd_cli;total_diaria_cli;custo_total_cli;total_cobrado_cli;total_liberado_cli;total_glosado_cli;total_glosado_cli_perc;int_cir;tmi_cir;cpi_cir;cpd_cir;total_diaria_cir;custo_total_cir;total_cobrado_cir;total_liberado_cir;total_glosado_cir;total_glosado_cir_perc;total_cobrado;total_liberado;total_glosado;total_glosado_perc;referencia
179;433314;HOSPITAL MONTE KLINIKUM;CE;61;5,2787;40;6,875;36.526,93;5.313,01;275;1.461.077,08;1.625.410,73;1.461.077,08;164.333,65;10,11;21;2,2381;33.529,86;14.981,43;47;704.127,07;724.388,22;704.127,07;20.261,15;2,8;2.349.798,95;2.165.204,15;184.594,80;7,86;01/01/2022
180;433314;HOSPITAL MONTE KLINIKUM;CE;37;7,1622;25;9,76;91.447,14;9.369,58;244;2.286.178,40;2.475.213,78;2.286.178,40;189.035,38;7,64;12;1,75;23.020,24;13.154,42;21;276.242,92;287.291,60;276.242,92;11.048,68;3,85;2.762.505,38;2.562.421,32;200.084,06;7,24;01/02/2022
181;433314;HOSPITAL MONTE KLINIKUM;CE;55;4,4545;37;6,1351;29.265,30;4.770,12;227;1.082.816,19;1.174.668,59;1.082.816,19;91.852,40;7,82;18;1;11.476,30;11.476,30;18;206.573,31;215.670,30;206.573,31;9.096,99;4,22;1.390.338,89;1.289.389,50;100.949,39;7,26;01/03/2022
182;433314;HOSPITAL MONTE KLINIKUM;CE;40;4,9;27;6,5926;36.459,43;5.530,36;178;984.404,68;1.073.666,64;984.404,68;89.261,96;8,31;13;1,3846;14.899,96;10.761,08;18;193.699,52;202.738,11;193.699,52;9.038,59;4,46;1.276.404,75;1.178.104,20;98.300,55;7,7;01/04/2022
183;433314;HOSPITAL MONTE KLINIKUM;CE;15;4,5333;14;4,6429;11.642,21;2.507,55;65;162.990,97;207.605,56;162.990,97;44.614,59;21,49;1;3;46.838,19;15.612,73;3;46.838,19;48.224,41;46.838,19;1.386,22;2,87;255.829,97;209.829,16;46.000,81;17,98;01/05/2022
184;433314;HOSPITAL MONTE KLINIKUM;CE;63;6,9206;46;8,6522;37.644,98;4.350,93;398;1.731.668,87;1.897.994,19;1.731.668,87;145.611,71;7,67;17;2,2353;25.447,34;11.384,34;38;432.604,77;444.932,26;432.604,77;12.144,17;2,73;2.342.926,45;2.164.273,64;157.755,88;6,73;01/06/2022
185;182214;HOSPITAL OTOCLINICA;CE;83;3,0361;36;5,1111;21.315,83;4.170,49;184;767.370,04;809.869,07;767.370,04;42.499,03;5,25;47;1,4468;13.495,80;9.327,98;68;634.302,64;662.958,53;634.302,64;28.655,89;4,32;1.472.827,60;1.401.672,68;71.154,92;4,83;01/01/2022
186;182214;HOSPITAL OTOCLINICA;CE;129;3,7364;60;6,45;15.282,58;2.369,39;387;916.954,71;1.014.066,25;916.954,71;97.111,54;9,58;69;1,3768;8.446,48;6.134,81;95;582.806,83;616.699,75;582.806,83;33.892,92;5,5;1.630.766,00;1.499.761,54;131.004,46;8,03;01/02/2022
187;182214;HOSPITAL OTOCLINICA;CE;116;3,681;53;7,1321;31.829,81;4.462,91;378;1.686.980,14;1.792.393,07;1.686.980,14;105.412,93;5,88;63;0,7778;10.347,19;13.303,53;49;651.872,73;681.725,72;651.872,73;29.852,99;4,38;2.474.118,79;2.338.852,87;135.265,92;5,47;01/03/2022
188;182214;HOSPITAL OTOCLINICA;CE;117;0,8034;47;1,6809;23.201,41;13.803,37;79;1.090.466,24;1.126.447,52;1.090.466,24;35.981,28;3,19;70;0,2143;9.655,55;45.059,25;15;675.888,71;688.258,02;675.888,71;12.369,31;1,8;1.814.705,54;1.766.354,95;48.350,59;2,66;01/04/2022
189;182214;HOSPITAL OTOCLINICA;CE;87;0,3333;38;0,2368;17.487,11;73.834,46;9;664.510,11;675.420,65;664.510,11;10.910,54;1,62;49;0,4082;12.793,78;31.344,76;20;626.895,24;637.804,37;626.895,24;10.909,13;1,71;1.313.225,02;1.291.405,35;21.819,67;1,66;01/05/2022
190;182214;HOSPITAL OTOCLINICA;CE;91;0,1978;42;0,4286;22.407,78;52.284,82;18;941.126,76;966.465,59;941.126,76;25.338,83;2,62;49;0;7.713,11;0;0;377.942,26;379.692,32;377.942,26;1.750,06;0,46;1.346.157,91;1.319.069,02;27.088,89;2,01;01/06/2022
191;116211;HOSPITAL SAO CARLOS;CE;42;2,9762;9;9;56.664,67;6.296,07;81;509.982,04;542.810,65;509.982,04;32.828,61;6,05;33;1,3333;10.191,96;7.643,97;44;336.334,62;364.008,36;336.334,62;27.673,74;7,6;906.819,01;846.316,66;60.502,35;6,67;01/01/2022
192;116211;HOSPITAL SAO CARLOS;CE;24;2,6667;8;2,75;12.041,49;4.378,72;22;96.331,91;104.145,82;96.331,91;7.813,91;7,5;16;2,625;24.505,84;9.335,56;42;392.093,37;435.682,81;392.093,37;43.589,44;10;539.828,63;488.425,28;51.403,35;9,52;01/02/2022
193;116211;HOSPITAL SAO CARLOS;CE;39;0,6667;4;1,75;11.053,98;6.316,56;7;44.215,91;47.499,00;44.215,91;3.283,09;6,91;35;0,5429;10.596,87;19.520,54;19;370.890,35;382.540,38;370.890,35;11.650,03;3,05;430.039,38;415.106,26;14.933,12;3,47;01/03/2022
194;116211;HOSPITAL SAO CARLOS;CE;30;2,3667;6;6,5;34.134,12;5.251,40;39;204.804,74;227.298,82;204.804,74;22.494,08;9,9;24;1,3333;18.166,75;13.625,06;32;436.001,98;502.192,02;436.001,98;58.655,31;11,68;729.490,84;640.806,72;81.149,39;11,12;01/04/2022
195;116211;HOSPITAL SAO CARLOS;CE;27;4,1111;9;9,2222;55.143,79;5.979,45;83;496.294,13;534.566,27;496.294,13;28.078,10;5,25;18;1,5556;10.676,12;6.863,22;28;192.170,11;211.221,48;192.170,11;19.051,37;9,02;745.787,75;688.464,24;47.129,47;6,32;01/05/2022
196;116211;HOSPITAL SAO CARLOS;CE;38;0,2368;5;0,2;19.568,56;97.842,82;1;97.842,82;97.842,82;97.842,82;0;0;33;0,2424;6.260,87;25.826,08;8;206.608,62;218.015,05;206.608,62;11.406,43;5,23;315.857,87;304.451,44;11.406,43;3,61;01/06/2022
197;141712;HOSPITAL SAO MATEUS;CE;4;1,5;2;1,5;3.726,88;2.484,59;3;7.453,77;7.712,17;7.453,77;258,4;3,35;2;1,5;10.201,19;6.800,79;3;20.402,38;21.303,74;20.402,38;901,36;4,23;29.015,91;27.856,15;1.159,76;4;01/01/2022
198;141712;HOSPITAL SAO MATEUS;CE;7;3,5714;4;5,5;30.962,96;5.629,63;22;123.851,84;126.207,15;123.851,84;2.355,31;1,87;3;1;3.657,97;3.657,97;3;10.973,90;14.178,70;10.973,90;3.204,80;22,6;140.385,85;134.825,74;5.560,11;3,96;01/02/2022
199;141712;HOSPITAL SAO MATEUS;CE;7;3,1429;6;3,5;4.990,18;1.425,76;21;29.941,06;34.061,18;29.941,06;4.120,12;12,1;1;1;1.910,92;1.910,92;1;1.910,92;2.560,85;1.910,92;649,93;25,38;36.622,03;31.851,98;4.770,05;13,03;01/03/2022
200;141712;HOSPITAL SAO MATEUS;CE;9;10,8889;6;16,1667;56.941,24;3.522,14;97;341.647,46;363.312,39;341.647,46;21.664,93;5,96;3;0,3333;712,2;2.136,59;1;2.136,59;2.443,23;2.136,59;306,64;12,55;365.755,62;343.784,05;21.971,57;6,01;01/04/2022
201;141712;HOSPITAL SAO MATEUS;CE;15;3,7333;8;4,375;11.968,44;2.735,64;35;95.747,56;99.054,07;95.747,56;3.306,51;3,34;7;3;18.428,97;6.142,99;21;129.002,79;132.103,85;129.002,79;3.101,06;2,35;231.157,92;224.750,35;6.407,57;2,77;01/05/2022
202;141712;HOSPITAL SAO MATEUS;CE;22;3,6364;15;4,2667;9.354,00;2.192,34;64;140.310,03;151.482,41;140.310,03;11.172,38;7,38;7;2,2857;29.509,46;12.910,39;16;206.566,24;228.579,61;206.566,24;22.013,37;9,63;380.062,02;346.876,27;33.185,75;8,73;01/06/2022
203;319317;INSTITUTO DO CANCER DO CEARA;CE;6;1;0;0;0;0;0;0;0;0;0;0;6;1;5.956,22;5.956,22;6;35.737,34;36.219,66;35.737,34;482,32;1,33;36.219,66;35.737,34;482,32;1,33;01/01/2022
204;319317;INSTITUTO DO CANCER DO CEARA;CE;9;1,4444;1;2;10.159,06;5.079,53;2;10.159,06;10.159,06;10.159,06;0;0;8;1,375;8.076,83;5.874,06;11;64.614,66;67.169,33;64.614,66;2.554,67;3,8;77.328,39;74.773,72;2.554,67;3,3;01/02/2022
205;319317;INSTITUTO DO CANCER DO CEARA;CE;6;1;0;0;0;0;0;0;0;0;0;0;6;1;2.432,63;2.432,63;6;14.595,78;14.814,41;14.595,78;218,63;1,48;14.814,41;14.595,78;218,63;1,48;01/03/2022
206;319317;INSTITUTO DO CANCER DO CEARA;CE;6;5,1667;0;0;0;0;0;0;0;0;0;0;6;5,1667;52.589,10;10.178,53;31;315.534,57;322.469,52;315.534,57;6.934,95;2,15;322.469,52;315.534,57;6.934,95;2,15;01/04/2022
207;319317;INSTITUTO DO CANCER DO CEARA;CE;11;1,8182;1;8;12.771,80;1.596,48;8;12.771,80;13.170,80;12.771,80;399;3,03;10;1,2;7.217,99;6.014,99;12;72.179,91;73.408,34;72.179,91;1.228,43;1,67;86.579,14;84.951,71;1.627,43;1,88;01/05/2022
208;319317;INSTITUTO DO CANCER DO CEARA;CE;10;1,6;1;7;7.150,92;1.021,56;7;7.150,92;7.529,11;7.150,92;378,19;5,02;9;1;2.902,33;2.902,33;9;26.120,98;26.939,84;26.120,98;818,86;3,04;34.468,95;33.271,90;1.197,05;3,47;01/06/2022
209;37818;PRONTOCARDIO;CE;1;4;1;4;3.661,40;915,35;4;3.661,40;3.694,40;3.661,40;33;0,89;0;0;0;0;0;0;0;0;0;0;3.694,40;3.661,40;33;0,89;01/03/2022
210;37818;PRONTOCARDIO;CE;1;1;0;0;0;0;0;0;0;0;0;0;1;1;2.985,64;2.985,64;1;2.985,64;2.985,64;2.985,64;0;0;2.985,64;2.985,64;0;0;01/04/2022
211;37818;PRONTOCARDIO;CE;1;2;1;2;2.389,22;1.194,61;2;2.389,22;2.389,22;2.389,22;0;0;0;0;0;0;0;0;0;0;0;0;2.389,22;2.389,22;0;0;01/05/2022
212;37818;PRONTOCARDIO;CE;2;2,5;2;2,5;4.934,16;1.973,66;5;9.868,32;10.134,46;9.868,32;266,14;2,63;0;0;0;0;0;0;0;0;0;0;10.134,46;9.868,32;266,14;2,63;01/06/2022
213;376116;SOPAI;CE;1;2;1;2;4.260,32;2.130,16;2;4.260,32;4.399,90;4.260,32;139,58;3,17;0;0;0;0;0;0;0;0;0;0;4.399,90;4.260,32;139,58;3,17;01/03/2022
214;376116;SOPAI;CE;1;8;1;8;11.728,70;1.466,09;8;11.728,70;12.082,32;11.728,70;353,62;2,93;0;0;0;0;0;0;0;0;0;0;12.082,32;11.728,70;353,62;2,93;01/06/2022
215;452912;DF STAR;DF;215;3,3674;165;3,9758;29.584,94;7.441,33;656;4.881.514,53;5.364.235,10;4.881.514,53;482.720,57;9;50;1,36;18.633,46;13.701,07;68;931.672,82;1.064.329,08;931.672,82;132.656,26;12,46;6.428.564,18;5.813.187,35;615.376,83;9,57;01/01/2022
216;452912;DF STAR;DF;281;3,3452;201;4,0697;20.669,46;5.078,93;818;4.154.562,23;4.618.980,40;4.154.562,23;464.418,17;10,05;80;1,525;23.978,07;15.723,32;122;1.918.245,51;2.115.933,32;1.918.245,51;197.687,81;9,34;6.734.913,72;6.072.807,74;662.105,98;9,83;01/02/2022
217;452912;DF STAR;DF;375;3,1173;255;3,9608;22.256,83;5.619,30;1010;5.675.491,08;6.246.443,06;5.675.491,08;570.951,98;9,14;120;1,325;24.793,51;18.712,08;159;2.975.220,77;3.327.470,86;2.975.220,77;352.250,09;10,59;9.573.913,92;8.650.711,85;923.202,07;9,64;01/03/2022
218;452912;DF STAR;DF;216;2,6157;127;3,6378;22.270,69;6.122,03;462;2.828.377,62;3.156.624,87;2.828.377,62;264.340,74;8,37;89;1,1573;28.574,12;24.690,26;103;2.543.096,47;2.694.620,31;2.543.096,47;148.759,43;5,52;5.851.245,18;5.371.474,09;413.100,17;7,06;01/04/2022
219;452912;DF STAR;DF;156;3,3205;107;4,1121;22.571,64;5.489,01;440;2.415.165,15;2.698.263,73;2.415.165,15;250.643,05;9,29;49;1,5918;32.130,18;20.184,35;78;1.574.378,92;1.683.930,80;1.574.378,92;109.551,88;6,51;4.382.194,53;3.989.544,07;360.194,93;8,22;01/05/2022
220;452912;DF STAR;DF;377;2,9629;247;3,749;26.586,57;7.091,67;926;6.566.883,74;7.306.693,09;6.566.883,74;591.742,32;8,1;130;1,4692;29.757,10;20.253,53;191;3.868.423,29;4.253.316,40;3.868.423,29;381.731,55;8,97;11.560.009,49;10.435.307,03;973.473,87;8,42;01/06/2022
221;86215;HOSPITAL ANCHIETA;DF;313;3,3291;210;4,3714;20.688,60;4.732,69;918;4.344.606,06;4.366.598,58;4.344.606,06;21.992,52;0,5;103;1,2039;21.094,50;17.522,05;124;2.172.733,81;2.221.858,48;2.172.733,81;49.124,67;2,21;6.588.457,06;6.517.339,87;71.117,19;1,08;01/01/2022
222;86215;HOSPITAL ANCHIETA;DF;281;3,8114;157;5,4204;26.888,05;4.960,54;851;4.221.423,74;4.234.860,26;4.221.423,74;13.436,52;0,32;124;1,7742;25.386,23;14.308,60;220;3.147.892,07;3.238.949,23;3.147.892,07;91.057,16;2,81;7.473.809,49;7.369.315,81;104.493,68;1,4;01/02/2022
223;86215;HOSPITAL ANCHIETA;DF;305;4,0656;208;5,1394;22.162,80;4.312,31;1069;4.609.862,05;4.644.480,22;4.609.862,05;34.618,17;0,75;97;1,7629;26.161,79;14.840,31;171;2.537.693,35;2.586.509,22;2.537.693,35;48.815,87;1,89;7.230.989,44;7.147.555,40;83.434,04;1,15;01/03/2022
224;86215;HOSPITAL ANCHIETA;DF;240;3,3417;158;4,1519;23.183,95;5.583,94;656;3.663.064,38;3.672.406,26;3.663.064,38;9.341,88;0,25;82;1,7805;26.562,59;14.918,71;146;2.178.132,35;2.206.157,65;2.178.132,35;28.025,30;1,27;5.878.563,91;5.841.196,73;37.367,18;0,64;01/04/2022
225;86215;HOSPITAL ANCHIETA;DF;433;3,5889;299;4,408;20.270,58;4.598,56;1318;6.060.902,72;6.095.155,29;6.060.902,72;34.252,57;0,56;134;1,7612;34.022,11;19.317,64;236;4.558.962,86;4.630.972,08;4.558.962,86;72.009,22;1,55;10.726.127,37;10.619.865,58;106.261,79;0,99;01/05/2022
226;86215;HOSPITAL ANCHIETA;DF;320;3,975;217;4,8387;24.029,94;4.966,19;1050;5.214.496,46;5.240.037,52;5.214.496,46;25.541,06;0,49;103;2,1553;36.148,10;16.771,42;222;3.723.254,24;3.765.314,02;3.723.254,24;42.059,78;1,12;9.005.351,54;8.937.750,70;67.600,84;0,75;01/06/2022
227;412910;HOSPITAL DO CORACAO DO BRASIL;DF;43;3,7907;30;4,6333;29.256,96;6.314,45;139;877.708,79;941.008,35;877.708,79;63.299,56;6,73;13;1,8462;30.601,56;16.575,84;24;397.820,26;419.838,84;397.820,26;22.018,58;5,24;1.360.847,19;1.275.529,05;85.318,14;6,27;01/01/2022
228;412910;HOSPITAL DO CORACAO DO BRASIL;DF;40;3,85;29;3,5862;15.705,90;4.379,53;104;455.471,20;501.231,85;455.471,20;45.760,65;9,13;11;4,5455;36.415,13;8.011,33;50;400.566,43;433.213,88;400.566,43;32.647,45;7,54;934.445,73;856.037,63;78.408,10;8,39;01/02/2022
229;412910;HOSPITAL DO CORACAO DO BRASIL;DF;40;3,775;26;5,0769;34.747,50;6.844,21;132;903.435,07;1.010.183,67;903.435,07;106.748,60;10,57;14;1,3571;21.877,73;16.120,44;19;306.288,27;328.115,25;306.288,27;21.826,98;6,65;1.338.298,92;1.209.723,34;128.575,58;9,61;01/03/2022
230;412910;HOSPITAL DO CORACAO DO BRASIL;DF;28;3,6786;19;5,0526;26.300,00;5.205,21;96;499.700,00;563.897,25;499.700,00;54.586,97;9,68;9;0,7778;25.210,12;32.413,01;7;226.891,04;236.484,68;226.891,04;9.593,64;4,06;800.381,93;726.591,04;64.180,61;8,02;01/04/2022
231;412910;HOSPITAL DO CORACAO DO BRASIL;DF;33;2,7576;22;3,7727;19.380,83;5.137,09;83;426.378,36;479.491,17;426.378,36;43.503,75;9,07;11;0,7273;29.538,70;40.615,71;8;324.925,66;342.693,90;324.925,66;17.768,24;5,18;822.185,07;751.304,02;61.271,99;7,45;01/05/2022
232;412910;HOSPITAL DO CORACAO DO BRASIL;DF;75;2,8533;44;4,2727;30.203,91;7.069,00;188;1.328.971,97;1.434.476,10;1.328.971,97;98.232,86;6,85;31;0,8387;24.421,03;29.117,38;26;757.051,89;783.020,36;757.051,89;24.818,48;3,17;2.217.496,46;2.086.023,86;123.051,34;5,55;01/06/2022
233;412716;HOSPITAL SANTA LUZIA;DF;144;3,0556;84;4,4881;22.695,31;5.056,78;377;1.906.405,78;2.177.146,37;1.906.405,78;270.740,59;12,44;60;1,05;17.890,53;17.038,60;63;1.073.431,60;1.172.241,51;1.073.431,60;98.809,91;8,43;3.349.387,88;2.979.837,38;369.550,50;11,03;01/01/2022
234;412716;HOSPITAL SANTA LUZIA;DF;110;4,2364;63;5,4921;26.019,07;4.737,58;346;1.639.201,21;1.864.987,90;1.639.201,21;225.786,69;12,11;47;2,5532;27.518,18;10.777,95;120;1.293.354,59;1.449.921,16;1.293.354,59;156.566,57;10,8;3.314.909,06;2.932.555,80;382.353,26;11,53;01/02/2022
235;412716;HOSPITAL SANTA LUZIA;DF;150;2,5667;58;4,431;25.193,04;5.685,59;257;1.461.196,21;1.611.584,81;1.461.196,21;150.388,60;9,33;92;1,3913;17.177,08;12.346,03;128;1.580.291,35;1.740.075,92;1.580.291,35;159.784,57;9,18;3.351.660,73;3.041.487,56;310.173,17;9,25;01/03/2022
236;412716;HOSPITAL SANTA LUZIA;DF;79;3,1266;46;4,8261;23.407,32;4.850,17;222;1.076.736,86;1.247.159,13;1.076.736,86;137.820,10;11,05;33;0,7576;25.445,32;33.587,82;25;839.695,50;879.089,58;839.695,50;39.394,08;4,48;2.126.248,71;1.916.432,36;177.214,18;8,33;01/04/2022
237;412716;HOSPITAL SANTA LUZIA;DF;75;3,4133;54;4,3704;20.300,02;4.644,92;236;1.096.201,21;1.271.179,66;1.096.201,21;153.470,23;12,07;21;0,9524;22.990,30;24.139,82;20;482.796,31;518.334,45;482.796,31;35.538,14;6,86;1.789.514,11;1.578.997,52;189.008,37;10,56;01/05/2022
238;412716;HOSPITAL SANTA LUZIA;DF;221;2,0679;85;3,7176;23.392,59;6.292,31;316;1.988.370,07;2.182.360,39;1.988.370,07;136.100,11;6,24;136;1,0368;23.752,92;22.910,62;141;3.230.397,74;3.384.865,30;3.230.397,74;145.778,91;4,31;5.567.225,69;5.218.767,81;281.879,02;5,06;01/06/2022
239;44415;HOSPITAL SANTA MARTA;DF;63;2,5556;28;4,2143;20.731,79;4.919,41;118;580.490,10;648.557,03;580.490,10;68.066,93;10,5;35;1,2286;23.733,84;19.318,24;43;830.684,23;896.249,29;830.684,23;65.565,06;7,32;1.544.806,32;1.411.174,33;133.631,99;8,65;01/01/2022
240;44415;HOSPITAL SANTA MARTA;DF;68;3,8529;34;6,5588;35.324,87;5.385,85;223;1.201.045,59;1.318.064,70;1.201.045,59;117.019,11;8,88;34;1,1471;33.978,95;29.622,67;39;1.155.284,22;1.241.203,18;1.155.284,22;85.918,96;6,92;2.559.267,88;2.356.329,81;202.938,07;7,93;01/02/2022
241;44415;HOSPITAL SANTA MARTA;DF;56;3,2679;38;4,2895;24.047,69;5.606,21;163;913.812,37;938.950,95;913.812,37;25.138,58;2,68;18;1,1111;25.955,67;23.360,11;20;467.202,12;468.024,12;467.202,12;822;0,18;1.406.975,07;1.381.014,49;25.960,58;1,85;01/03/2022
242;44415;HOSPITAL SANTA MARTA;DF;55;2,9273;37;3,4595;18.133,10;5.241,60;128;670.924,75;673.027,50;670.924,75;2.102,75;0,31;18;1,8333;12.318,20;6.719,02;33;221.727,58;226.067,74;221.727,58;4.340,16;1,92;899.095,24;892.652,33;6.442,91;0,72;01/04/2022
243;44415;HOSPITAL SANTA MARTA;DF;84;4,1786;58;5,4655;20.678,91;3.783,52;317;1.199.376,66;1.200.571,95;1.199.376,66;1.195,29;0,1;26;1,3077;14.287,79;10.925,95;34;371.482,43;376.026,97;371.482,43;4.544,54;1,21;1.576.598,92;1.570.859,09;5.739,83;0,36;01/05/2022
244;44415;HOSPITAL SANTA MARTA;DF;73;3,7397;42;4,7857;30.159,07;6.301,89;201;1.266.680,81;1.266.990,43;1.266.680,81;309,62;0,02;31;2,3226;19.794,00;8.522,42;72;613.613,97;614.274,93;613.613,97;660,96;0,11;1.881.265,36;1.880.294,78;970,58;0,05;01/06/2022
245;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;68;2,1618;34;2,5588;13.858,50;5.415,96;87;471.188,92;476.895,06;471.188,92;5.706,14;1,2;34;1,7647;28.291,82;16.032,03;60;961.921,80;973.571,89;961.921,80;11.650,09;1,2;1.450.466,95;1.433.110,72;17.356,23;1,2;01/01/2022
246;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;42;4,6905;30;6,0333;37.191,88;6.164,40;181;1.115.756,37;1.149.280,44;1.115.756,37;33.524,07;2,92;12;1,3333;31.706,14;23.779,60;16;380.473,67;380.672,76;380.473,67;199,09;0,05;1.529.953,20;1.496.230,04;33.723,16;2,2;01/02/2022
247;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;62;5,129;40;6,15;33.201,40;5.398,60;246;1.328.055,80;1.333.653,56;1.328.055,80;5.597,76;0,42;22;3,2727;47.194,64;14.420,58;72;1.038.281,99;1.059.709,99;1.038.281,99;21.428,00;2,02;2.393.363,55;2.366.337,79;27.025,76;1,13;01/03/2022
248;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;59;3,5932;36;4,9444;24.455,28;4.946,01;178;880.390,17;881.300,09;880.390,17;909,92;0,1;23;1,4783;22.402,79;15.154,83;34;515.264,13;515.437,48;515.264,13;173,35;0,03;1.396.737,57;1.395.654,30;1.083,27;0,08;01/04/2022
249;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;62;4,8226;41;6,2439;27.856,91;4.461,46;256;1.142.133,48;1.153.786,00;1.142.133,48;11.652,52;1,01;21;2,0476;47.204,79;23.053,50;43;991.300,55;997.412,48;991.300,55;6.111,93;0,61;2.151.198,48;2.133.434,03;17.764,45;0,83;01/05/2022
250;454010;HOSPITAL SIRIO LIBANES - BRASILIA;DF;54;3,9815;36;5,3611;27.755,71;5.177,23;193;999.205,71;1.012.215,71;999.205,71;13.010,00;1,29;18;1,2222;29.125,19;23.829,70;22;524.253,38;537.223,21;524.253,38;12.969,83;2,41;1.549.438,92;1.523.459,09;25.979,83;1,68;01/06/2022
251;29319;SANTA HELENA;DF;92;5,8696;77;6,2468;30.885,08;4.944,18;481;2.378.151,21;2.544.613,19;2.378.151,21;166.461,98;6,54;15;3,9333;25.926,15;6.591,39;59;388.892,25;450.071,06;388.892,25;61.178,81;13,59;2.994.684,25;2.767.043,46;227.640,79;7,6;01/01/2022
252;29319;SANTA HELENA;DF;115;4,2435;79;5,2025;31.226,80;6.002,23;411;2.466.917,36;2.539.170,64;2.466.917,36;72.253,28;2,85;36;2,1389;16.392,17;7.663,87;77;590.118,11;615.649,60;590.118,11;25.531,49;4,15;3.154.820,24;3.057.035,47;97.784,77;3,1;01/02/2022
253;29319;SANTA HELENA;DF;128;5;86;6,3605;42.603,88;6.698,23;547;3.663.933,97;3.706.812,05;3.663.933,97;42.878,08;1,16;42;2,2143;23.287,30;10.516,85;93;978.066,62;1.003.126,32;978.066,62;25.059,70;2,5;4.709.938,37;4.642.000,59;67.937,78;1,44;01/03/2022
254;29319;SANTA HELENA;DF;216;2,6944;161;3,3106;14.989,78;4.527,87;533;2.413.354,82;2.520.515,50;2.413.354,82;81.129,22;3,22;55;0,8909;11.541,20;12.954,41;49;634.766,27;680.333,26;634.766,27;30.851,66;4,53;3.200.848,76;3.048.121,09;111.980,88;3,5;01/04/2022
255;29319;SANTA HELENA;DF;159;2,6101;106;3,4528;12.300,08;3.562,32;366;1.303.808,04;1.434.189,51;1.303.808,04;80.962,87;5,65;53;0,9245;11.930,63;12.904,56;49;632.323,22;709.052,57;632.323,22;76.729,35;10,82;2.143.242,08;1.936.131,26;157.692,22;7,36;01/05/2022
256;29319;SANTA HELENA;DF;169;2,7396;124;3,3548;15.752,19;4.695,37;416;1.953.272,03;2.131.020,96;1.953.272,03;158.886,02;7,46;45;1,0444;14.923,66;14.288,61;47;671.564,61;709.148,96;671.564,61;37.584,35;5,3;2.840.169,92;2.624.836,64;196.470,37;6,92;01/06/2022
257;41114;CEMED;MA;1;2;1;2;849,12;424,56;2;849,12;849,12;849,12;0;0;0;0;0;0;0;0;0;0;0;0;849,12;849,12;0;0;01/02/2022
258;41114;CEMED;MA;1;1;1;1;457,34;457,34;1;457,34;457,34;457,34;0;0;0;0;0;0;0;0;0;0;0;0;457,34;457,34;0;0;01/05/2022
259;124214;CENTRO MEDICO MARANHENSE;MA;18;0,9444;4;2,75;5.637,08;2.049,85;11;22.548,30;22.579,84;22.548,30;31,54;0,14;14;0,4286;14.145,45;33.006,04;6;198.036,26;206.327,95;198.036,26;8.291,69;4,02;228.907,79;220.584,56;8.323,23;3,64;01/01/2022
260;124214;CENTRO MEDICO MARANHENSE;MA;10;0,3;1;0;2.057,72;0;0;2.057,72;2.094,72;2.057,72;37;1,77;9;0,3333;18.819,20;56.457,59;3;169.372,78;173.577,82;169.372,78;4.205,04;2,42;175.672,54;171.430,50;4.242,04;2,41;01/02/2022
261;124214;CENTRO MEDICO MARANHENSE;MA;10;1,2;3;3;11.640,04;3.880,01;9;34.920,11;39.835,72;34.920,11;4.915,61;12,34;7;0,4286;13.124,31;30.623,39;3;91.870,18;92.259,89;91.870,18;389,71;0,42;132.095,61;126.790,29;5.305,32;4,02;01/03/2022
262;124214;CENTRO MEDICO MARANHENSE;MA;27;0,6296;2;6;5.456,47;909,41;12;10.912,94;10.944,48;10.912,94;31,54;0,29;25;0,2;17.711,86;88.559,29;5;442.796,43;453.292,82;442.796,43;10.496,39;2,32;464.237,30;453.709,37;10.527,93;2,27;01/04/2022
263;124214;CENTRO MEDICO MARANHENSE;MA;9;0,4444;1;1;2.772,66;2.772,66;1;2.772,66;2.804,20;2.772,66;31,54;1,12;8;0,375;7.975,83;21.268,89;3;63.806,68;64.561,92;63.806,68;755,24;1,17;67.366,12;66.579,34;786,78;1,17;01/05/2022
264;124214;CENTRO MEDICO MARANHENSE;MA;9;0,3333;2;1;518,45;518,45;2;1.036,90;1.036,90;1.036,90;0;0;7;0,1429;10.187,65;71.313,53;1;71.313,53;71.916,05;71.313,53;602,52;0,84;72.952,95;72.350,43;602,52;0,83;01/06/2022
265;45411;CLINICA LUIZA COELHO;MA;1;1;0;0;0;0;0;0;0;0;0;0;1;1;3.844,64;3.844,64;1;3.844,64;3.881,64;3.844,64;37;0,95;3.881,64;3.844,64;37;0,95;01/01/2022
266;45411;CLINICA LUIZA COELHO;MA;2;1;0;0;0;0;0;0;0;0;0;0;2;1;4.298,37;4.298,37;2;8.596,74;8.781,74;8.596,74;185;2,11;8.781,74;8.596,74;185;2,11;01/02/2022
